PIB CHILE,PIB
Mar-86,8024.533805
Jun-86,8024.533805
Sep-86,8024.533805
DIC1986,8024.533805
Mar-87,8024.533805
Jun-87,8024.533805
Sep-87,8024.533805
DIC1987,8024.533805
Mar-88,8024.533805
Jun-88,8024.533805
Sep-88,8024.533805
DIC1988,8024.533805
Mar-89,8024.533805
Jun-89,8024.533805
Sep-89,8024.533805
DIC1989,8024.533805
Mar-90,8024.533805
Jun-90,8024.533805
Sep-90,8024.533805
DIC1990,8024.533805
Mar-91,8024.533805
Jun-91,8024.533805
Sep-91,8024.533805
DIC1991,8024.533805
Mar-92,8024.533805
Jun-92,8024.533805
Sep-92,8024.533805
DIC1992,8024.533805
Mar-93,8024.533805
Jun-93,8024.533805
Sep-93,8024.533805
DIC1993,8024.533805
Mar-94,8024.533805
Jun-94,8024.533805
Sep-94,8024.533805
DIC1994,8024.533805
Mar-95,8024.533805
Jun-95,8024.533805
Sep-95,8024.533805
DIC1995,8024.533805
Mar-96,8024.533805
Jun-96,8024.533805
Sep-96,8024.533805
DIC1996,8024.533805
Mar-97,8024.533805
Jun-97,8024.533805
Sep-97,8024.533805
DIC1997,8024.533805
Mar-98,8024.533805
Jun-98,8024.533805
Sep-98,8024.533805
DIC1998,8024.533805
Mar-99,8024.533805
Jun-99,8024.533805
Sep-99,8024.533805
DIC1999,8024.533805
Mar-00,8024.533805
Jun-00,8024.533805
Sep-00,8024.533805
DIC2000,8024.533805
Mar-01,8024.533805
Jun-01,8024.533805
Sep-01,8024.533805
DIC2001,8024.533805
Mar-02,8024.533805
Jun-02,8024.533805
Sep-02,8024.533805
DIC2002,8024.533805
Mar-03,8024.533805
Jun-03,8024.533805
Sep-03,8024.533805
DIC2003,8024.533805
Mar-04,8024.533805
Jun-04,8024.533805
Sep-04,8024.533805
DIC2004,8024.533805
Mar-05,8024.533805
Jun-05,8024.533805
Sep-05,8024.533805
DIC2005,8024.533805
Mar-06,8024.533805
Jun-06,8024.533805
Sep-06,8024.533805
DIC2006,8024.533805
Mar-07,8024.533805
Jun-07,8024.533805
Sep-07,8024.533805
DIC2007,8024.533805
Mar-08,8024.533805
Jun-08,8024.533805
Sep-08,8024.533805
DIC2008,8024.533805
Mar-09,8024.533805
Jun-09,8024.533805
Sep-09,8024.533805
DIC2009,8024.533805
Mar-10,8024.533805
Jun-10,8024.533805
Sep-10,8024.533805
DIC2010,8024.533805
Mar-11,8024.533805
Jun-11,8024.533805
Sep-11,8024.533805
DIC2011,8024.533805
Mar-12,8024.533805
Jun-12,8024.533805
Sep-12,8024.533805
DIC2012,8024.533805
Mar-13,8024.533805
Jun-13,8024.533805
Sep-13,8024.533805
DIC2013,8024.533805
Mar-14,8024.533805
Jun-14,8024.533805
Sep-14,8024.533805
DIC2014,8024.533805
Mar-15,8024.533805
Jun-15,8024.533805
Sep-15,8024.533805
DIC2015,8024.533805
Mar-16,8024.533805
Jun-16,8024.533805
Sep-16,8024.533805
DIC2016,8024.533805
Mar-17,8024.533805
Jun-17,8024.533805
Sep-17,8024.533805
DIC2017,8024.533805
Mar-18,8024.533805
Jun-18,8024.533805
Sep-18,8024.533805
DIC2018,8024.533805
Mar-19,8024.533805
Jun-19,8024.533805
Sep-19,8024.533805
DIC2019,8024.533805
Mar-20,8024.533805
Jun-20,8024.533805
Sep-20,8024.533805
DIC2020,8024.533805
