Tasa neta de asistencia a educación media según sexo (2009 a 2017),,,,,,,,,,,,,,,
(Población de 14 a 17 años),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sexo,2009,,,2011,,,2013,,,2015,,,2017,,
,Población  que asiste de 14 a 17 años a ed media,Población de 14 a 17 años,Tasa Neta,Población  que asiste de 14 a 17 años a ed media,Población de 14 a 17 años,Tasa Neta,Población  que asiste de 14 a 17 años a ed media,Población de 14 a 17 años,Tasa Neta,Población  que asiste de 14 a 17 años a ed media,Población de 14 a 17 años,Tasa Neta,Población  que asiste de 14 a 17 años a ed media,Población de 14 a 17 años,Tasa Neta
Hombre,"404,836","593,865",68.2,"406,156","582,537",69.7,"408,337","560,534",72.8,"379,169","528,657",71.7,"352,258","492,703",71.5
Mujer,"406,683","554,038",73.4,"401,249","536,049",74.9,"375,017","508,575",73.7,"389,642","515,376",75.6,"346,745","459,519",75.5
Total,"811,519","1,147,903",70.7,"807,405","1,118,586",72.2,"783,354","1,069,109",73.3,"768,811","1,044,033",73.6,"699,003","952,222",73.4
"Fuente: Ministerio de Desarrollo Social, Encuesta Casen",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sexo,2009,,,2011,,,2013,,,2015,,,2017,,
,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta
Hombre,"296,065","1,060,946",27.9,"365,277","1,119,651",32.6,"367,795","1,056,015",34.8,"378,768","1,047,536",36.2,"356,929","1,007,760",35.4
Mujer,"320,152","1,076,276",29.7,"383,364","1,133,071",33.8,"422,899","1,095,667",38.6,"408,209","1,058,019",38.6,"395,012","1,000,323",39.5
Total,"616,217","2,137,222",28.8,"748,641","2,252,722",33.2,"790,694","2,151,682",36.7,"786,977","2,105,555",37.4,"751,941","2,008,083",37.4
